station_id,poi_index,poi_id,weight
862,2788,2788,0.3924828476588557
862,2878,2878,0.14318267796391737
863,2858,2858,0.6155156812933791
863,2862,2862,0.19508215520540514
863,2879,2879,0.18940216350121586
864,3446,3446,0.29958970637479654
864,3753,3753,0.516319015344041
864,3447,3447,0.18409127828116245
865,4060,4060,0.02227948988437768
865,486,486,0.9487378469734615
865,3567,3567,0.028982663142160702
866,5260,5260,0.11584963762816619
866,1076,1076,0.049824754545547155
866,5263,5263,0.8343256078262866
867,5272,5272,0.3038343463302711
867,5254,5254,0.30199867328693925
867,5273,5273,0.3941669803827897
868,5273,5273,0.6418407283357956
868,5272,5272,0.20139730152837856
868,5254,5254,0.15676197013582588
869,1560,1560,0.845839047004433
869,1580,1580,0.0837696275955312
869,1565,1565,0.0703913254000358
