poi_id,name,geometry,lat,lon,category,demand,method,centroid_lon,centroid_lat,dist_to_centroid_m
32479,,POINT (-3.0626740692208076 55.943549027506435),55.94354903,-3.062674069,commercial,345.51627035179854,kmeans_snap,-3.0642437773954407,55.94387664230002,104.31333930749962
25506,,POINT (-3.234812356695303 55.96403612631145),55.96403613,-3.234812357,residential,1078.428554065989,kmeans_snap,-3.234317948612468,55.9631601487049,102.14951649837602
4617,,POINT (-3.2069964500000006 55.935959950000004),55.93595995,-3.20699645,residential,1.5309163100976651e-06,kmeans_snap,-3.207981138499402,55.93573661420439,66.16614053530354
6350,,POINT (-3.176629165090549 55.965319916111646),55.96531992,-3.176629165,commercial,7463.631704989713,kmeans_snap,-3.1769026764725252,55.96537527379768,18.10067003928826
474,,POINT (-3.187567527344581 55.958726023215014),55.95872602,-3.187567527,residential,1.1428394714586194e-06,kmeans_snap,-3.1869324053220085,55.95907931993474,55.73347125678058
35,Central Children's Library,POINT (-3.1924454 55.9484985),55.9484985,-3.1924454,library,1.772356553603747e-06,kmeans_snap,-3.193299559484702,55.94848496126358,53.20320470741619
13500,,POINT (-3.1910491113997996 55.97598853576265),55.97598854,-3.191049111,residential,2542.9293515201643,kmeans_snap,-3.1911150290812293,55.97594632983896,6.232984485497013
13081,,POINT (-3.306955191751504 55.96886191228942),55.96886191,-3.306955192,residential,711.109560385022,kmeans_snap,-3.30685399504979,55.9687869559169,10.446142664841842
489,,POINT (-3.1743895999999996 55.978107550000004),55.97810755,-3.1743896,commercial,19922.56535294174,kmeans_snap,-3.173772118779841,55.977598809508294,68.38076752845743
306,,POINT (-3.3208250296344475 55.9378977539626),55.93789775,-3.32082503,commercial,1.012145798310535e-06,kmeans_snap,-3.3201964453097306,55.93882652580632,110.44579030133293
427,Preston Street Primary School,POINT (-3.176298934880774 55.939876857438826),55.93987686,-3.176298935,school,98.9496478007114,kmeans_snap,-3.174395307800566,55.93979049917905,118.93892798338535
32161,,POINT (-3.328470108540487 55.980616370543224),55.98061637,-3.328470109,residential,3786.8145058138357,kmeans_snap,-3.328470109,55.98061637,0.0
10013,,POINT (-3.235594450266259 55.94461089937471),55.9446109,-3.23559445,residential,1601.176562051192,kmeans_snap,-3.2343380303187854,55.94487015240981,83.37721594120185
395,Abbeymount Techbase,POINT (-3.172376313207843 55.956839320869925),55.95683932,-3.172376313,commercial,1.34254309815219e-06,kmeans_snap,-3.173532775772495,55.95641030938465,86.35999865275065
153,,POINT (-3.187007465639212 55.94683192788712),55.94683193,-3.187007466,university,9006.690907667196,kmeans_snap,-3.186354684529913,55.94663155433203,46.35179266467117
30874,,POINT (-3.217814757958806 55.95985876748236),55.95985877,-3.217814758,residential,1.3150167488294099e-06,kmeans_snap,-3.217196867998321,55.95902169526991,100.71146351241647
32868,,POINT (-3.2515805074863495 55.93875251782255),55.93875252,-3.251580507,commercial,2146.639744949677,kmeans_snap,-3.2513794148178237,55.93896356318157,26.599560785419495
