poi_id,category,inflow,outflow,demand,inflow_per_hour,outflow_per_hour,demand_per_hour,demand_ratio
292,residential,0.007411057593327151,0.007411057593327151,0.007411057593327151,0.0016447030589593103,0.0016447030589593103,0.0016447030589593103,0.2219255535428925
293,residential,0.004395756403705867,0.004395756403705867,0.004395756403705867,0.0009755306732637959,0.0009755306732637959,0.0009755306732637959,0.22192555352235707
294,residential,0.0019947780462028874,0.0019947780462028874,0.0019947780462028874,0.0004426922221585189,0.0004426922221585189,0.0004426922221585189,0.22192555346158419
295,residential,0.006234831688032099,0.006234831688032099,0.006234831688032099,0.0013836684738000261,0.0013836684738000261,0.0013836684738000261,0.2219255535372484
296,residential,0.1653803002783579,0.14931267022674619,0.1653803002783579,0.03636594687280836,0.031084256755416536,0.03636594687280836,0.21989285792430874
297,residential,1.2075058324761647,1.05094272659643,1.2075058324761647,0.2730592433030757,0.22544339222373616,0.2730592433030757,0.22613492701969165
298,residential,0.08576950101426291,0.08576950101426291,0.08576950101426291,0.019034443992257354,0.019034443992257354,0.019034443992257354,0.2219255535702618
299,residential,0.007309438000640123,0.007309438000640123,0.007309438000640123,0.0016221510745983905,0.0016221510745983905,0.0016221510745983905,0.2219255535424755
300,residential,0.001624976267767557,0.001624976267767557,0.001624976267767557,0.00036062375776700005,0.00036062375776700005,0.00036062375776700005,0.22192555343624226
301,residential,0.018623237814484047,0.01039292138848101,0.018623237814484047,0.004124070004543469,0.002241452014095746,0.004124070004543469,0.22144752944703128
302,residential,1.095354729917105,1.095354729917105,1.095354729917105,0.24308720479549611,0.24308720479549611,0.24308720479549611,0.22192555357265012
303,residential,4.797572984663467,3.767663063786666,4.797572984663467,1.0784477031932187,0.853709255044281,1.0784477031932187,0.2247902651279089
304,residential,0.0017306843111277595,0.0017306843111277595,0.0017306843111277595,0.0003840830738069354,0.0003840830738069354,0.0003840830738069354,0.2219255534446552
305,residential,0.27980226092660043,0.267371623459603,0.27980226092660043,0.06250358578294866,0.060141493708142174,0.06250358578294866,0.22338484891343188
306,residential,0.19899979376104565,0.1884980024617321,0.19899979376104565,0.045200160656630295,0.04039945465698213,0.045200160656630295,0.22713672110976388
307,residential,0.0027300616329277174,0.0027300616329277174,0.0027300616329277174,0.0006058704391754528,0.0006058704391754528,0.0006058704391754528,0.22192555349154955
308,residential,0.8172740676248555,0.8172740676248555,0.8172740676248555,0.18137399987838335,0.18137399987838335,0.18137399987838335,0.22192555357258145
309,residential,3.5950563617448053,4.117784258416463,4.117784258416463,0.809057626280072,0.8544286862466046,0.8544286862466046,0.20749719573093336
310,residential,0.023808555077494502,0.023808555077494502,0.023808555077494502,0.005283726765342367,0.005283726765342367,0.005283726765342367,0.2219255535635166
311,residential,0.0562665439273276,0.0562665439273276,0.0562665439273276,0.012486983908703338,0.012486983908703338,0.012486983908703338,0.22192555356890722
312,residential,0.01013257113139365,0.01013257113139365,0.01013257113139365,0.002248676457450725,0.002248676457450725,0.002248676457450725,0.22192555355093896
313,residential,0.0014781109943703694,0.0013531790164739595,0.0014781109943703694,0.00033074514648372475,0.00030575875090444273,0.00033074514648372475,0.22376205002172392
314,residential,0.02166832904369909,0.02166832904369909,0.02166832904369909,0.004808755918021507,0.004808755918021507,0.004808755918021507,0.22192555356260454
315,residential,0.12320279847902288,0.12320279847902288,0.12320279847902288,0.0273418492541814,0.0273418492541814,0.0273418492541814,0.2219255535710484
316,residential,0.1192001049494555,0.1192001049494555,0.1192001049494555,0.026453549276849772,0.026453549276849772,0.026453549276849772,0.22192555357098856
317,residential,0.06699043030839881,0.06775027932084182,0.06775027932084182,0.015165810296298937,0.01434088563178266,0.015165810296298937,0.22384867557896065
318,residential,0.002413081965971761,0.002413081965971761,0.002413081965971761,0.0005355245511149682,0.0005355245511149682,0.0005355245511149682,0.22192555348089227
319,residential,0.002655561463175217,0.002655561463175217,0.002655561463175217,0.0005893369477618232,0.0005893369477618232,0.0005893369477618232,0.2219255534892557
320,residential,0.009730891742011995,0.009730891742011995,0.009730891742011995,0.0021595335366034842,0.0021595335366034842,0.0021595335366034842,0.22192555355004345
321,residential,0.22481840082760118,0.22481840082760118,0.22481840082760118,0.0498929480570284,0.0498929480570284,0.0498929480570284,0.22192555357186344
322,residential,0.027161041803698223,0.027161041803698223,0.027161041803698223,0.0060277292379011796,0.0060277292379011796,0.0060277292379011796,0.2219255535646841
323,residential,0.0858335842039225,0.0858335842039225,0.0858335842039225,0.019048665689597278,0.019048665689597278,0.019048665689597278,0.2219255535702638
324,residential,0.0015274355066271662,0.0015274355066271662,0.0015274355066271662,0.0003390087534660812,0.0003390087534660812,0.0003390087534660812,0.221946361580086
325,residential,0.005889808572452772,0.005889808572452772,0.005889808572452772,0.0013070990278794803,0.0013070990278794803,0.0013070990278794803,0.22192555353513332
326,residential,0.0026711839091521244,0.0026711839091521244,0.0026711839091521244,0.0005928607074587416,0.0005928607074587416,0.0005928607074587416,0.2219467949045029
327,residential,0.009321308995114026,0.009321308995114026,0.009321308995114026,0.002068636658764166,0.002068636658764166,0.002068636658764166,0.22192555354903082
328,residential,0.0024102857571203134,0.0024102857571203134,0.0024102857571203134,0.0005349040009177419,0.0005349040009177419,0.0005349040009177419,0.22192555348080073
329,residential,0.0243946050801587,0.0243946050801587,0.0243946050801587,0.0054137862366051516,0.0054137862366051516,0.0054137862366051516,0.2219255535637475
330,residential,0.008642315954912274,0.008642315954912274,0.008642315954912274,0.0019179507524452032,0.0019179507524452032,0.0019179507524452032,0.22192555354715057
331,residential,0.007947516471227612,0.007947516471227612,0.007947516471227612,0.0017637569924064025,0.0017637569924064025,0.0017637569924064025,0.2219255535449099
332,residential,0.0673534834883939,0.0673534834883939,0.0673534834883939,0.014947459108221657,0.014947459108221657,0.014947459108221657,0.22192555356955546
333,residential,0.001922739868519457,0.001922739868519457,0.001922739868519457,0.0004267051096977807,0.0004267051096977807,0.0004267051096977807,0.2219255534574344
334,residential,1.6734405778758203,1.4481942014774685,1.6734405778758203,0.27422389249362683,0.3688811947267879,0.3688811947267879,0.22043280150096892
335,residential,0.08800121582258459,0.08800121582258459,0.08800121582258459,0.019529718536510997,0.019529718536510997,0.019529718536510997,0.22192555357032887
336,residential,0.012082396793955775,0.012082396793955775,0.012082396793955775,0.0026372396617611376,0.0026372396617611376,0.0026372396617611376,0.21827123430196788
337,residential,0.0774302845299088,0.0774302845299088,0.0774302845299088,0.017183758757603404,0.017183758757603404,0.017183758757603404,0.22192555356998528
338,residential,0.0376063648160411,0.0376063648160411,0.0376063648160411,0.00834581332966253,0.00834581332966253,0.00834581332966253,0.22192555356695035
339,residential,0.005427480759753448,0.005427480759753448,0.005427480759753448,0.0012044966721142508,0.0012044966721142508,0.0012044966721142508,0.221925553531956
340,residential,0.004900150207849924,0.004900150207849924,0.004900150207849924,0.001087468547467151,0.001087468547467151,0.001087468547467151,0.2219255535275483
341,residential,14.234666213294267,10.276835952828774,14.234666213294267,3.1763485531767386,2.430026579357817,3.1763485531767386,0.22314176571348118
342,residential,0.08771252795066797,0.08154037863640676,0.08771252795066797,0.019483689143001203,0.017554549177913686,0.019483689143001203,0.2221312006163732
343,residential,0.06456115253820488,0.055697000776891076,0.06456115253820488,0.014353674591859229,0.01158313412877611,0.014353674591859229,0.22232680222279075
344,residential,1.1191548382991443,1.1191548382991443,1.1191548382991443,0.248369057023274,0.248369057023274,0.248369057023274,0.22192555357265434
345,residential,0.021250817821009,0.021250817821009,0.021250817821009,0.004716099508803209,0.004716099508803209,0.004716099508803209,0.22192555356240692
346,residential,0.0548676544388791,0.0548676544388791,0.0548676544388791,0.012176534584592235,0.012176534584592235,0.012176534584592235,0.221925553568808
347,residential,0.014069405794489155,0.014069405794489155,0.014069405794489155,0.0031223606693830683,0.0031223606693830683,0.0031223606693830683,0.2219255535570763
348,residential,0.0012931085076979963,0.0012931085076979963,0.0012931085076979963,0.00028697382140066715,0.00028697382140066715,0.00028697382140066715,0.2219255534012494
349,residential,0.13793741591795378,0.13793741591795378,0.13793741591795378,0.030611837386000432,0.030611837386000432,0.030611837386000432,0.22192555357124175
350,residential,0.004031331486153171,0.004031331486153171,0.004031331486153171,0.0008946554717002089,0.0008946554717002089,0.0008946554717002089,0.22192555351780138
351,residential,0.008336122578588604,0.008336122578588604,0.008336122578588604,0.0018499986179043963,0.0018499986179043963,0.0018499986179043963,0.22192555354622623
352,residential,0.0024839435823414443,0.0024839435823414443,0.0024839435823414443,0.0005512505545548184,0.0005512505545548184,0.0005512505545548184,0.22192555348349197
353,residential,0.032872956398022714,0.030002272441784893,0.032872956398022714,0.007398657495308264,0.006989837958008186,0.007398657495308264,0.22506821125246346
354,residential,0.005925065568891189,0.005925065568891189,0.005925065568891189,0.0013149234563315237,0.0013149234563315237,0.0013149234563315237,0.22192555353537996
355,residential,0.004860810708109151,0.004860810708109151,0.004860810708109151,0.0010787381072099186,0.0010787381072099186,0.0010787381072099186,0.2219255535271853
356,residential,0.0021204481027531402,0.0021204481027531402,0.0021204481027531402,0.00047058161902598577,0.00047058161902598577,0.00047058161902598577,0.22192555346818818
357,residential,0.002082924233000345,0.002082924233000345,0.002082924233000345,0.00046225411345884404,0.00046225411345884404,0.00046225411345884404,0.22192555346627527
358,residential,0.0016793745576532053,0.0016793745576532053,0.0016793745576532053,0.00037269612836334203,0.00037269612836334203,0.00037269612836334203,0.2219255534406989
