station_id,poi_index,poi_id,weight
341,6236,6236,0.2561753716289335
342,6019,6019,0.36666856756367816
342,6015,6015,0.3276887852429811
342,6001,6001,0.3056426471933407
343,6332,6332,0.3491555226912716
343,6331,6331,0.32682946672604213
343,6333,6333,0.3240150105826863
344,6564,6564,0.3697439290559656
344,6562,6562,0.3156183937656349
344,6548,6548,0.31463767717839947
345,29,29,0.49364368578379375
345,14544,14544,0.2820809439540349
345,16096,16096,0.22427537026217126
346,7527,7527,0.42695072411083196
346,7529,7529,0.2866128930421163
346,7503,7503,0.28643638284705175
347,32465,32465,0.42700155931613204
347,229,229,0.2943121545795775
347,228,228,0.27868628610429047
349,4116,4116,0.41431465665723133
349,33539,33539,0.3651241386853127
349,18331,18331,0.22056120465745593
350,435,435,0.42953881977825875
350,31978,31978,0.28563024392190006
350,31977,31977,0.2848309362998413
351,31974,31974,0.3671040585277222
351,31975,31975,0.3206070153025744
351,31976,31976,0.3122889261697034
352,103,103,0.4050342632750733
352,29273,29273,0.3019340833363503
352,29276,29276,0.2930316533885764
353,103,103,0.4922642000163249
353,896,896,0.3335411306402291
353,30306,30306,0.17419466934344596
354,893,893,0.42760431386166564
354,32962,32962,0.29921639929893484
354,890,890,0.2731792868393995
355,18826,18826,0.39542434896173445
355,18825,18825,0.3356036641123721
355,18814,18814,0.2689719869258935
356,402,402,0.5061923169450506
356,424,424,0.2573578430956381
356,425,425,0.23644983995931132
357,6835,6835,0.5653779063663599
357,29184,29184,0.2186530444187971
357,29183,29183,0.21596904921484308
358,6349,6349,0.3535249182061516
358,6350,6350,0.37488852856512145
358,6347,6347,0.2715865532287269
359,121,121,0.4739951817937196
359,12379,12379,0.26332632859312666
359,12475,12475,0.26267848961315376
365,33638,33638,0.3938508727968823
365,125,125,0.3328888754977366
365,33639,33639,0.27326025170538115
366,13500,13500,0.34424777417510344
366,13543,13543,0.32852575130138856
366,13490,13490,0.327226474523508
648,25507,25507,0.350821334063883
648,14857,14857,0.33181285737736804
648,14858,14858,0.3173658085587489
820,6843,6843,0.37753390924640373
820,18751,18751,0.31149834868631743
820,6837,6837,0.3109677420672788
860,5769,5769,0.4302932190853028
860,5768,5768,0.3002703569031776
860,427,427,0.2694364240115195
862,12799,12799,0.46339187211674376
862,12798,12798,0.3916861047077746
862,13116,13116,0.14492202317548156
863,13079,13079,0.38725335252927934
863,13078,13078,0.3656959907372656
863,13084,13084,0.24705065673345514
864,17259,17259,0.367088600507347
864,33593,33593,0.32815450070276436
864,19981,19981,0.3047568987898886
865,18229,18229,0.33967038633512603
865,21832,21832,0.33894605764723157
865,18230,18230,0.32138355601764235
866,30811,30811,0.35951780716109083
866,30812,30812,0.3392496766501076
866,3403,3403,0.3012325161888016
867,30919,30919,0.40189352112055093
867,30771,30771,0.3994654049055106
867,30920,30920,0.19864107397393851
868,30920,30920,0.3410426790205263
868,30921,30921,0.33515182688476647
868,30922,30922,0.32380549409470716
869,5397,5397,0.3939226169461717
