candidate_id,centroid_lon,centroid_lat,
269,-3.224834063,55.95800006,3000
270,-3.165690649,55.97532525,4500
271,-3.219244479,55.94417265,3500
272,-3.299574298,55.92982698,2500
273,-3.210468677,55.93731601,4500
274,-3.105835973,55.93513025,3000
275,-3.312109131,55.89646848,5000
276,-3.211168546,55.95002431,5000
277,-3.193142206,55.90070085,5000
278,-3.252858684,55.95677463,4000
279,-3.204688361,55.9628661,4000
280,-3.044664705,55.89493969,4500
281,-3.265493759,55.91986273,5000
282,-3.15319301,55.95468731,4500
283,-3.313660637,55.96153117,4500
284,-3.201250782,55.94577684,4500
285,-3.163586787,55.95568969,4500
286,-3.282288618,55.92969547,5000
287,-3.129718688,55.9344369,4500
288,-3.058858359,55.93792125,4000
289,-3.067420945,55.94302127,4500
290,-3.322778937,55.94405497,4000
291,-3.186133447,55.96003116,4000
292,-3.226765616,55.9534418,5000
293,-3.309284231,55.96586647,5000
294,-3.261385674,55.93085984,5000
295,-3.300301668,55.97488383,5000
296,-3.25622374,55.91367089,5000
297,-3.262769551,55.94415888,4500
298,-3.230063142,55.938111,4500
299,-3.187054975,55.86461258,5000
300,-3.186247612,55.95653524,2000
301,-3.058306837,55.94396074,1500
302,-3.066753916,55.94388032,1500
303,-3.173586297,55.96791807,1500
304,-3.167394703,55.96901165,2500
305,-3.215335841,55.94007147,2500
306,-3.307442445,55.92738268,1000
307,-3.212354285,55.95159412,2500
308,-3.328783526,55.90841344,2500
309,-3.320113285,55.90882288,2500
310,-3.175724609,55.95108947,2000
311,-3.289481117,55.92668428,1500
312,-3.17221628,55.95524789,2500
313,-3.098561479,55.94406628,2000
314,-3.213307722,55.92781816,2500
315,-3.307258798,55.96944275,1000
316,-3.188919737,55.94760045,2000
317,-3.250881447,55.94504588,1500
318,-3.180985762,55.96085174,2500
319,-3.198763444,55.93532371,2000
320,-3.206431879,55.93712324,2000
321,-3.223024024,55.94606397,2500
322,-3.215661361,55.95941013,1500
323,-3.073104634,55.93198048,2500
324,-3.233671053,55.92758664,2000
325,-3.234135938,55.96283984,2500
326,-3.237800314,55.94191081,2000
327,-3.223434402,55.95953625,2500
328,-3.214285387,55.95727801,2000
329,-3.212397112,55.93341636,2500
330,-3.195470337,55.96037972,2500
331,-3.209749772,55.92798535,2500
332,-3.136971299,55.92135417,1000
333,-3.231847151,55.94564842,1500
334,-3.202094747,55.96411788,2000
335,-3.187197759,55.95995415,1500
336,-3.185175373,55.96403105,2000
337,-3.118332042,55.95791541,2500
338,-3.182589723,55.94485887,1000
339,-3.269286765,55.94211535,2000
340,-3.300641789,55.98003077,2000
341,-3.203104599,55.94424805,2500
342,-3.201278015,55.96076241,2500
343,-3.218184683,55.94556945,1500
344,-3.194150044,55.93643192,2000
345,-3.185021146,55.93796327,2500
346,-3.184951408,55.94383598,1500
347,-3.226124805,55.95197358,1500
348,-3.22241531,55.9417913,1500
349,-3.175888371,55.95787195,2500
350,-3.185474586,55.9466428,0
351,-3.198032689,55.93836922,2000
352,-3.210396331,55.94607056,500
353,-3.205765497,55.9474092,2500
354,-3.207963567,55.97132539,2500
355,-3.187795032,55.94979757,1000
356,-3.220588934,55.9397099,1500
357,-3.194640214,55.94023763,500
358,-3.197245733,55.94709728,2000
359,-3.186906245,55.94478428,500
360,-3.17618017,55.96517649,1000
361,-3.223634264,55.95508277,2500
362,-3.202037829,55.94676649,2500
363,-3.203183907,55.95150074,2000
364,-3.182738851,55.93980947,2000
365,-3.171746867,55.94008064,500
366,-3.196283585,55.96280409,1500
367,-3.197265856,55.94477165,2000
368,-3.192443757,55.95490573,2000
369,-3.208070182,55.95856559,2000
370,-3.181682341,55.95316433,500
371,-3.175384585,55.92347881,0
372,-3.171646245,55.92320216,1500
373,-3.17383083,55.92418541,1000
374,-3.187526919,55.95264104,1000
375,-3.174126319,55.97761715,2500
376,-3.209247502,55.94335693,1500
377,-3.189053072,55.94583372,500
378,-3.207101172,55.95233546,500
379,-3.173923554,55.93900025,
380,-3.184178535,55.9517345,
381,-3.19025777,55.95010933,
382,-3.191890333,55.95198076,
